Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
20,20,2016-12-03,28-264,GSW,,PHO,W (+29),1,29:50,10,15,.667,5,7,.714,6,6,1.000,0,2,2,1,1,0,3,2,31,23.0,+15
21,21,2016-12-05,28-266,GSW,,IND,W (+36),1,29:09,4,10,.400,2,7,.286,3,4,.750,0,4,4,11,2,1,0,4,13,17.2,+24
22,22,2016-12-07,28-268,GSW,@,LAC,W (+17),1,33:17,7,16,.438,0,8,.000,5,5,1.000,0,4,4,6,7,0,3,3,19,18.8,+18
23,23,2016-12-08,28-269,GSW,@,UTA,W (+7),1,35:34,7,16,.438,3,9,.333,9,9,1.000,0,5,5,2,2,0,3,2,26,18.7,+10
24,24,2016-12-10,28-271,GSW,@,MEM,L (-21),1,30:35,4,14,.286,3,11,.273,6,6,1.000,2,6,8,3,0,0,4,3,17,8.9,-24
25,25,2016-12-11,28-272,GSW,@,MIN,W (+8),1,31:35,6,13,.462,2,5,.400,8,8,1.000,1,3,4,9,1,0,0,3,22,23.0,-6
26,26,2016-12-13,28-274,GSW,@,NOP,W (+4),1,34:07,11,23,.478,5,9,.556,3,4,.750,2,2,4,7,1,0,2,2,30,23.0,+4
27,27,2016-12-15,28-276,GSW,,NYK,W (+13),1,33:49,3,14,.214,2,8,.250,0,0,,1,9,10,8,1,0,3,0,8,6.4,+20
28,28,2016-12-17,28-278,GSW,,POR,W (+45),1,27:14,6,11,.545,5,8,.625,2,2,1.000,0,3,3,6,0,0,3,3,19,14.6,+21
29,29,2016-12-20,28-281,GSW,,UTA,W (+30),1,30:13,8,18,.444,4,9,.444,5,5,1.000,0,3,3,4,3,0,0,0,25,22.3,+27
30,30,2016-12-22,28-283,GSW,@,BRK,W (+16),1,32:58,6,19,.316,3,13,.231,0,0,,0,2,2,7,5,0,2,5,15,10.6,+25
31,31,2016-12-23,28-284,GSW,@,DET,W (+6),1,35:00,7,16,.438,5,10,.500,6,6,1.000,0,3,3,8,2,0,5,1,25,19.7,+6
